EMPRESA,NIT,MUNICIPIO,BIEN O SERVICIO,SECTOR,CORREO,REPRESENTANTE LEGAL,TELEFONO,DIRECCION
ACIEPALMA S.A.S,901179736-1,QUIBDÓ,"EMPRESA DEDICADA A LA ELABORACIÒN DE JABONES APARTIR DE EL RECICLAJE DE ACEITES DE COACINAS USADO, LO QUE NOS PERMITE REDIUCIR EL IMPACTO AMBIENTAL.",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,aciepalma6@gmail.com,FELIX ANDRES MOSUQERA MOSQUERA,"3128253833, 3148061862",Calle 29 cr 9 N 28-78
AFROEMPRENDEDORES Y CONSULTORES CULTURALES S.A.S,900 723 888-0,QUIBDÓ,PRODUCCIÓN Y COMERCIALIZACIÓN DE BEBIDAS ANCESTRALES,NO MADERABLES,jackramach@yahoo.es /jackramach@gmail.com,JACKSON RAMIREZ MACHADO,314 865 80 04,Carrera 10 con calle 30 Barrio El Silencio Al Lado de Profamilia
AGROECOTUR GUADUAS- ASOCIACION AGROPECUARI- ECOLOGICA Y TURISTICA DE GUADUAS EL CARMEN DE ATRATO CHOCÓ,901017059-7,EL CARMEN DE ATRATO,SERVICIOS ECOTURÍSTICOS,ECOTURISMO/TURISMO DE NATURALEZA,marisolsanches2015@gmail.com,ALVARO DE JESUS SANCHEZ,314 729 17 38,Barrio Santa Teresa- carrera 5 número 1-1 El Carmen de Atrato
AGROINDUSTRIA DEL PACIFICO,9007800286,TADÓ,PRODUCCION Y TRANSFORMACION DE CHOCOLATES Y COLORANTES NATURALES APARTIR DEL ACHIOT,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",ettyparra@hotmail.com,ETTY PATRICIA PARRA CHAVERRA,3148655832,Carrera: 15 A No. 28-31
AGROINSUMOS VALOYES,794918592,QUIBDÓ,"PRODUCCION Y TRANSFORMACION DE FRUTOS DE LA REGION (PULPAS DESHIDRATATAS,COLORANTES NATURALES Y SNACK)",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,agroinsumosvaloyes1999@gmail.com,HAMINTON BENITO VALOYES HURTADO,3206897409,CARRERA 4 N° 30-61
AGROSERVICIOS E. U,900074699-4,QUIBDÓ,TRANSFORMACIÓN Y COMERCIALIZACIÓN DE FRUTAS Y ESPECIAS DE LA REGIÓN PARA EL SECTOR ALIMENTARIO Y MEDICINAL.,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",moisesmosquera11@gmail.com mmosquera@iiap.org.co,MOISES MOSQUERA BLANDÓN,319 583 29 73,Carrera 9na entre calle 28- 31 segundo piso Barrio el Silencio
ANATÉ DISEÑOS EXCLUSIVOS,26259045-9,QUIBDÓ,EMPRESA DEDICADA AL DISEÑO EXCLUSIVO DE ARTESANIAS EN FIBRAS NATURALES DEL CHOCÓ,NO MADERABLES,anatesiete@gmail.com,ANTAILDE CASTRO URRUTIA,3204980729,Carrera 4- calle 29 al frente de farma Quibdó
ANDRES ALBORNOZ S.A.S,901155056-6,ISTMINA,ELABORACIÓN DE ARTESANIAS EN FIBRAS NATURALES,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,albornosfelipe93@gmail.com,ANDRÉS FELIPE MOSQUERA ALBORNOZ,3136223801,Barrio Cubis sector Divino Niño
APLAMEDA,9000763869,BOJAYA,PRODUCCION Y COMERCIALIZACION DE PLATANO,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",aplameda@gmail.com,ELEODORO MACHADO VALENCIA,6723558 - 3146623439,"Carrera. 7 con calle 26 #7-29, oficina 201"
APROCAFA,90002332785,ACANDÍ,PRODUCCION Y COMERCIALIZACION DE CACAO,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",aprocafa.acandi@gmail.com,ROMELIA PARRA GARCÍA,3135297488,"Calle Echeverry, esquina la loma"
AREPAS AL CARBON,26324189,EL CARMEN DE ATRATO,AREPAS,AGROINDUSTRIA SOSENIBLE,No Reporta,MARIA LEONORILDA ARABA,311 817 07 57,Carmen de Atrato -Vereda El Porvenir
ARMATTA,163787972,QUIBDÓ,COMERCIALIZACION DE ARTESANIAS DAMAGUA Y CABECINEGRO,INORGÁNICO,nancylozano38@yahoo.es,JUAN ANDRÉS MORENO LOZANO,3122945362,Carrera 9 # 20-29
ARTESANÍAS CHOIBÁ,26377698,QUIBDÓ,EMPRESA DEDICADA A LA ELABORACIÒN DE ARTESANIAS COMO MUÑECAS EN TELAS RECICLADAS,INORGÁNICO,No Reporta,EDILMA CHAVERRA JIMENEZ,3137994724,Carrera 2 N 26A-40
ARTESANIAS GEMINIS,26256259-4,QUIBDÓ,EMPRESA DEDICADA A LA ELABORACIÒN DE BOLSOS Y CARTERAS EN FIBRAS NATURALES COMO SON LA DAMAGUA Y CABECINEGRO.,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,geminisartesanias@hotmail.com,GEMINIS SERVIA AUDIVERTH CAMACHO,3116580513,Carrera 5 N. 26-42
ARTESANÍAS LEO QUIBDÓ,262563933,QUIBDÓ,"ELABORACION Y PRODUCCION DE ARTESANIAS EN FIBRAS DE DAMAGUA Y CABECINEGRO ( BOLSOS , CARTERAS, CUADROS , FLORES",NO MADERABLES,artesaniasleo@hotmail.com,LEONOR PALACIOS RENTERÍA,3206041945,Carrera 8 # 25-46
ASOCIACIÓN AFROUNID@S DEL CHOCÓ-AFROUCH,No Reporta,QUIBDÓ,"LA FUNDACIÓN SE DEDICA A PARTICIPAR EN LOS PROCESOS DE TRANSFORMACIÓNES SOCIALES, CULTURALES, ECONOMICOS, POLITICOS Y AMBIENTALES DEL DEPARTAMENTO DEL CHOCÓ. ADEMAS SE ELABORAN Y SE COMERCIALIZAN BOLSAS ECOLOGICAS Y TUALLITAS ARTESANALES.",NO MADERABLES,jeleco1@hotmail.com,JESUS LEONEL CORDOBA CUESTA,3136210030,Carrera 6° B/ Monserrate
